"akce";"akce"
"bal";"bal"
"bez DPH";"bez DPH"
"carovy kod";"EAN"
"celkova cena po odecteni slevy";"celková cena po odečtení slevy"
"cena";"cena"
"cena bez DPH";"cena bez DPH"
"cena s DPH";"cena s DPH"
"cesky";"česky"
"dalsi";"další"
"doprava a platba";"doprava a platba"
"dostupnost";"dostupnost"
"heslo";"heslo"
"k pokladne";"k pokladně"
"kariera";"kariéra"
"kat.c";"kat.č."
"katalogove cislo";"katalogové číslo"
"katalogy";"katalogy"
"kc";"kč"
"kontakt";"kontakt"
"koupit";"koupit"
"kosik";"košík"
"ks";"ks"
"kusu";"kusů"
"mezisoucet";"mezisoučet"
"mnozstevni sleva";"množstevní sleva"
"mnozstvi";"množství"
"nakupni kosik";"nákupní košík"
"nasli jste nekde lepsi cenu";"našli jste někde lepší cenu"
"nazev zbozi";"název zboží"
"nejste prihlasen";"nejste přihlášen"
"neni skladem";"není skladem"
"odhlasit";"odhlásit"
"odstranit z kosiku";"odstranit z košíku"
"onas";"o nás"
"otevrit kosik";"otevřít košík"
"predchozi";"předchozí"
"pocet";"počet"
"pocet ks v baleni";"počet ks v balení"
"pokracovat v nakupu";"pokračovat v nákupu"
"pokud jste jiz zaregistrovan";"pokud jste již zaregistrován"
"polozek";"položek"
"podminky";"obchodní podmínky"
"pol_1";"položku"
"pol_2";"položky"
"pol_5";"položek"
"popis zbozi";"popis zboží"
"posledni";"poslední"
"prazdny kosik";"máte prázdný košík"
"pridat do kosiku";"přidat do košíku"
"pridat zbozi";"přidat zboží"
"prihlaseni";"přihlášení"
"prihlaseny uzivatel";"přihlášený uživatel"
"prihlasit";"přihlásit"
"prihlasit se";"přihlásit se"
"prihlaste se";"přihlaste se"
"prodejny";"prodejny"
"prvni";"první"
"radit dle";"řadit dle"
"registrace";"registrace"
"sdelte nam to";"sdělte nám to"
"shrnuti objednavky";"shrnutí objednávky"
"slovensky";"slovensky"
"stran";"stran"
"strana";"strana"
"udaje o objednateli";"objednatel"
"uvod";"Úvod"
"v kosiku mate";"v košíku máte"
"vc. DPH";"vč. DPH"
"vc DPH";"vč. DPH"
"vpravo nahore pro zobrazeni cen vasi odberatelske skupiny";"vpravo nahoře pro zobrazení cen vaší odběratelské skupiny"
"vyrobce";"výrobce"
"vysledna cena";"výsledná cena"
"vysypat kosik";"vysypat košík"
