"akce";"akcia"
"bal";"balné"
"bez DPH";"bez DPH"
"carovy kod";"EAN"
"celkova cena po odecteni slevy";"celková cena po odpočitaní zľavy"
"cena";"cena"
"cena bez DPH";"cena bez DPH"
"cena s DPH";"cena s DPH"
"cesky";"česky"
"dalsi";"ďalšie"
"doprava a platba";"doprava a platba"
"dostupnost";"dostupnosť"
"heslo";"heslo"
"k pokladne";"k pokladni"
"kariera";"kariéra"
"kat.c";"kat.č."
"katalogove cislo";"katalógové čislo"
"katalogy";"katalógy"
"kc";"EUR"
"kontakt";"kontakt"
"koupit";"kúpiť"
"kosik";"košík"
"ks";"ks"
"kusu";"kusov"
"mezisoucet";"medzisúčet"
"mnozstevni sleva";"množsťevná zľava"
"mnozstvi";"množstvo"
"nakupni kosik";"nákupný košík"
"nasli jste nekde lepsi cenu";"našli ste niekde lepšiu cenu"
"nazev zbozi";"názov tovaru"
"nejste prihlasen";"nieste prihlásený"
"neni skladem";"nie je skladom"
"odhlasit";"odhlásiť"
"odstranit z kosiku";"odstrániť z košíku"
"onas";"o nás"
"otevrit kosik";"otvoriť košík"
"predchozi";"predchadzajúci"
"pocet";"počet"
"pocet ks v baleni";"počet ks v balení"
"pokracovat v nakupu";"pokračovať v nákupe"
"pokud jste jiz zaregistrovan";"ked ste už zaregistrovaný"
"polozek";"položiek"
"podminky";"obchodné podmienky"
"pol_1";"položku"
"pol_2";"položky"
"pol_5";"položiek"
"popis zbozi";"popis tovaru"
"posledni";"posledný"
"prazdny kosik";"máte prázdny košík"
"pridat do kosiku";"pridať do košíku"
"pridat zbozi";" pridať tovar"
"prihlaseni";"prihlásenie "
"prihlaseny uzivatel";"prihlásený uživateľ"
"prihlasit";"prihlásiť"
"prihlasit se";"prihlásiť"
"prihlaste se";"prihlásiť"
"prodejny";"predajne"
"prvni";"prvý"
"radit dle";"zoradiť podľa"
"registrace";"registrácia"
"sdelte nam to";"povedzte nám to"
"shrnuti objednavky";"zhrnutie objednávky"
"slovensky";"slovensky"
"stran";"strán"
"strana";"strana"
"udaje o objednateli";"objednavateľ"
"uvod";"Úvod"
"v kosiku mate";"v košíku máte"
"vc. DPH";"vr. DPH"
"vc DPH";"vr. DPH"
"vpravo nahore pro zobrazeni cen vasi odberatelske skupiny";"vpravo hore pre zobrazenie cien vašej odberateľskej skupiny"
"vyrobce";"výrobca"
"vysledna cena";"výsledná cena"
"vysypat kosik";"vysypať košík"
"uvod_kat";"úvod"
"uzivatelske jmeno";"uživateľské meno"
"za";"za"
"zakladni cena";"základná cena"
"zapomenute heslo";"zabudnuté heslo"
,
"----------------------------------------",
,
"cerpat kredit";"čerpať kredit"
"muj ucet";"môj účet"
"objednavky";"objednávky"
"hledat";"hľadať"
"novinky";"novinky"
"slevy";"zľavy"
"sezona";"sezóna"
"nabizime";"ponúkame"
"nacitam data";"načítavam dáta"
"skladem";"skladom"
"zpusob dopravy";"spôsob dopravy"
"bez dph";"bez DPH"
"zpusob platby";"spôsob platby"
"udaje o zakaznikovi";"údaje o zákazníkovi"
"jmeno";"meno"
"email";"e-mail"
"telefon";"telefón"
"zmenit udaje o zakaznikovi";"zmeniť údaje o zákazníkovi"
"fakturacni adresa";"fakturačná adresa"
"firma";"firma"
"IC";"IČ"
"DIC";"DIČ"
"ulice";"ulica"
"mesto";"mesto"
"psc";"PSČ"
"stat";"štát"
"vyberte";"vyberte"
"ceska republika";"česká republika"
"slovenska republika";"slovenská republika"
"zmenit fakturacni udaje";"zmeniť fakturačné údaje"
"dodaci adresa";"dodacia adresa"
"pokud je odlisna od fakturacni adresy";"ked je dolišná od fakturačnej adresy"
"c.p.";"s.č."
"zmenit dodaci adresu";"zmeniť dodaciu adresu"
"ostatni informace";"ostatné informácie"
"slevovy kupon";"kupón na zľavy"
"poznamky";"poznámky"
"poviny udaj";"povinný údaj"
"souhlasim s";"súhlasím s"
"obchodnimi podminkami";"obchodnými podmienkami"
"ulice doruceni";"ulica doručenia"
"mesto doruceni";"mesto doručenia"
"psc doruceni";"PSČ doručenia"
"vyplneni nize uvedenych poli je povinne";"vyplnenie nižšie uvedených polí je povinné"
"je treba souhlasit s obchodnimi podminkami naseho obchodu";"je potrebné súhlasiť s obchodnými podmienkami nášho obchodu"
"objednavane zbozi";"objednavaný tovar"
"cena bez dph";"cena bez DPH"
"cena s dph";"cena s dph"
"fakturacni udaje";"fakturačné údaje"
"ostatni udaje";"ostatné údaje"
"doprava";"doprava"
"platba";"platba"
"dokoncit";"dokončiť"
"prehled objednavek";"prehľad objednávok"
"id";"id"
"datum";"dátum"
"zobraz";"zobraz"
"akcni zbozi";"akciový tovar"
"zlevnene zbozi";"zľavený tovar"
"sezoni zbozi";"sezónny tovar"
"vysledek hledani vyrazu";"výsledok hľadania výrazu"
"vase sleva";"vaša zľava"
"do kosiku pridano";"pridané do košíku"
"zavrit";"zavrieť"
"doprodej";"dopredaj"
"vas ucet";"váš účet"
"sl.";"sl."
"zakl.cena";"zákl.cena"
"mene nez";"menej než"
"vice nez";"viac než"
"souvisejici zbozi";"súvisiaci tovar"
"alternativni zbozi";"alternativný tovar"
"zdarma";"zadarmo"
"pri nakupu nad";"pri nákupu nad"
"objemove slevy";"objemové zľavy"
"pouze skladem";"len skladom"
"pouze vyrobky MFP";"len výrobky mfp"
"ic";"IČ"
"dic";"DIČ"
"prijmeni";"priezvisko"
"zpet do katalogu";"zpět do katalogu"
"neplatny kupon";"neplatný kupón"
"sleva z kuponu";"zľava z kupónu"
"vysledna cena";"výsledná cena"
"cena po odecteni slevy";"cena po odčítaní zľavy"
"kliknutim zavrete";"kliknutím zatvorte"
"existuje mnozstevni sleva";"V objednávce je uplatněna množstevní sleva. Pokud uplatníte kupon, množstevní sleva nebude uplatněna. Chcete kupon uplatnit?"
"tisk stranky";"tlač stránky"
"";""
"";""
"";""
"";""
